1. Ano,2. Nome Região (Portugal),3. Âmbito Geográfico,4. Filtro 1,5. Filtro 2,7. Escala,9. Valor
2013.0,Águeda,Município,Cursos Tecnológicos e Profissionais,11º ano,% dos alunos,5.0
2013.0,Águeda,Município,Cursos Tecnológicos e Profissionais,12º ano,% dos alunos,17.0
2013.0,Águeda,Município,Cursos Tecnológicos e Profissionais,Total,% dos alunos,8.2
2013.0,Águeda,Município,Total,10º ano,% dos alunos,15.5
2013.0,Águeda,Município,Total,11º ano,% dos alunos,12.0
2013.0,Águeda,Município,Total,12º ano,% dos alunos,32.1
2013.0,Águeda,Município,Total,Total,% dos alunos,19.0
2013.0,Aguiar da Beira,Município,Cursos gerais,10º ano,% dos alunos,18.5
2013.0,Aguiar da Beira,Município,Cursos gerais,11º ano,% dos alunos,0.0
2013.0,Aguiar da Beira,Município,Cursos gerais,12º ano,% dos alunos,43.7
2013.0,Aguiar da Beira,Município,Cursos gerais,Total,% dos alunos,18.7
2013.0,Aguiar da Beira,Município,Cursos Tecnológicos e Profissionais,10º ano,% dos alunos,0.0
2013.0,Aguiar da Beira,Município,Cursos Tecnológicos e Profissionais,11º ano,% dos alunos,0.0
2013.0,Aguiar da Beira,Município,Cursos Tecnológicos e Profissionais,12º ano,% dos alunos,30.8
2013.0,Aguiar da Beira,Município,Cursos Tecnológicos e Profissionais,Total,% dos alunos,14.5
2013.0,Aguiar da Beira,Município,Total,10º ano,% dos alunos,11.9
2013.0,Aguiar da Beira,Município,Total,11º ano,% dos alunos,0.0
2013.0,Aguiar da Beira,Município,Total,12º ano,% dos alunos,35.7
2013.0,Aguiar da Beira,Município,Total,Total,% dos alunos,16.8
2013.0,Alandroal,Município,Cursos gerais,10º ano,% dos alunos,
2013.0,Alandroal,Município,Cursos gerais,11º ano,% dos alunos,
2013.0,Alandroal,Município,Cursos gerais,12º ano,% dos alunos,
2013.0,Alandroal,Município,Cursos gerais,Total,% dos alunos,
2013.0,Alandroal,Município,Cursos Tecnológicos e Profissionais,10º ano,% dos alunos,
2013.0,Alandroal,Município,Cursos Tecnológicos e Profissionais,11º ano,% dos alunos,
2013.0,Alandroal,Município,Cursos Tecnológicos e Profissionais,12º ano,% dos alunos,0.0
2013.0,Alandroal,Município,Cursos Tecnológicos e Profissionais,Total,% dos alunos,0.0
2013.0,Alandroal,Município,Total,10º ano,% dos alunos,
2013.0,Alandroal,Município,Total,11º ano,% dos alunos,
2013.0,Alandroal,Município,Total,12º ano,% dos alunos,0.0
2013.0,Alandroal,Município,Total,Total,% dos alunos,0.0
2013.0,Albergaria-a-Velha,Município,Cursos gerais,10º ano,% dos alunos,16.6
2013.0,Albergaria-a-Velha,Município,Cursos gerais,11º ano,% dos alunos,9.9
2013.0,Albergaria-a-Velha,Município,Cursos gerais,12º ano,% dos alunos,34.0
2013.0,Albergaria-a-Velha,Município,Cursos gerais,Total,% dos alunos,20.2
2013.0,Albergaria-a-Velha,Município,Cursos Tecnológicos e Profissionais,10º ano,% dos alunos,9.8
2013.0,Albergaria-a-Velha,Município,Cursos Tecnológicos e Profissionais,11º ano,% dos alunos,7.4
2013.0,Albergaria-a-Velha,Município,Cursos Tecnológicos e Profissionais,12º ano,% dos alunos,43.1
2013.0,Albergaria-a-Velha,Município,Cursos Tecnológicos e Profissionais,Total,% dos alunos,18.3
2013.0,Albergaria-a-Velha,Município,Total,10º ano,% dos alunos,13.2
2013.0,Albergaria-a-Velha,Município,Total,11º ano,% dos alunos,8.7
2013.0,Albergaria-a-Velha,Município,Total,12º ano,% dos alunos,38.0
2013.0,Albergaria-a-Velha,Município,Total,Total,% dos alunos,19.3
2013.0,Albufeira,Município,Cursos gerais,10º ano,% dos alunos,22.0
2013.0,Albufeira,Município,Cursos gerais,11º ano,% dos alunos,20.9
2013.0,Albufeira,Município,Cursos gerais,12º ano,% dos alunos,41.9
2013.0,Albufeira,Município,Cursos gerais,Total,% dos alunos,26.9
2013.0,Albufeira,Município,Cursos Tecnológicos e Profissionais,10º ano,% dos alunos,12.7
2013.0,Albufeira,Município,Cursos Tecnológicos e Profissionais,11º ano,% dos alunos,5.9
2013.0,Albufeira,Município,Cursos Tecnológicos e Profissionais,12º ano,% dos alunos,33.3
2013.0,Albufeira,Município,Cursos Tecnológicos e Profissionais,Total,% dos alunos,16.1
2013.0,Albufeira,Município,Total,10º ano,% dos alunos,17.9
2013.0,Albufeira,Município,Total,11º ano,% dos alunos,14.6
2013.0,Albufeira,Município,Total,12º ano,% dos alunos,38.2
2013.0,Albufeira,Município,Total,Total,% dos alunos,22.2
2013.0,Alcácer do Sal,Município,Cursos gerais,10º ano,% dos alunos,19.7
2013.0,Alcácer do Sal,Município,Cursos gerais,11º ano,% dos alunos,14.3
2013.0,Alcácer do Sal,Município,Cursos gerais,12º ano,% dos alunos,45.1
2013.0,Alcácer do Sal,Município,Cursos gerais,Total,% dos alunos,28.2
2013.0,Alcácer do Sal,Município,Cursos Tecnológicos e Profissionais,10º ano,% dos alunos,22.2
2013.0,Alcácer do Sal,Município,Cursos Tecnológicos e Profissionais,11º ano,% dos alunos,
2013.0,Alcácer do Sal,Município,Cursos Tecnológicos e Profissionais,12º ano,% dos alunos,0.0
2013.0,Alcácer do Sal,Município,Cursos Tecnológicos e Profissionais,Total,% dos alunos,14.3
2013.0,Alcácer do Sal,Município,Total,10º ano,% dos alunos,20.5
2013.0,Alcácer do Sal,Município,Total,11º ano,% dos alunos,14.3
2013.0,Alcácer do Sal,Município,Total,12º ano,% dos alunos,37.2
2013.0,Alcácer do Sal,Município,Total,Total,% dos alunos,25.6
2013.0,Alcanena,Município,Cursos gerais,10º ano,% dos alunos,23.9
2013.0,Alcanena,Município,Cursos gerais,11º ano,% dos alunos,6.0
2013.0,Alcanena,Município,Cursos gerais,12º ano,% dos alunos,17.8
2013.0,Alcanena,Município,Cursos gerais,Total,% dos alunos,16.7
2013.0,Alcanena,Município,Cursos Tecnológicos e Profissionais,10º ano,% dos alunos,12.5
2013.0,Alcanena,Município,Cursos Tecnológicos e Profissionais,11º ano,% dos alunos,4.9
2013.0,Alcanena,Município,Cursos Tecnológicos e Profissionais,12º ano,% dos alunos,50.0
2013.0,Alcanena,Município,Cursos Tecnológicos e Profissionais,Total,% dos alunos,21.6
2013.0,Alcanena,Município,Total,10º ano,% dos alunos,20.9
2013.0,Alcanena,Município,Total,11º ano,% dos alunos,5.5
2013.0,Alcanena,Município,Total,12º ano,% dos alunos,31.2
2013.0,Alcanena,Município,Total,Total,% dos alunos,18.5
2013.0,Alcobaça,Município,Cursos gerais,10º ano,% dos alunos,9.8
2013.0,Alcobaça,Município,Cursos gerais,11º ano,% dos alunos,10.9
2013.0,Alcobaça,Município,Cursos gerais,12º ano,% dos alunos,36.2
2013.0,Alcobaça,Município,Cursos gerais,Total,% dos alunos,18.8
2013.0,Alcobaça,Município,Cursos Tecnológicos e Profissionais,10º ano,% dos alunos,0.6
2013.0,Alcobaça,Município,Cursos Tecnológicos e Profissionais,11º ano,% dos alunos,1.0
2013.0,Alcobaça,Município,Cursos Tecnológicos e Profissionais,12º ano,% dos alunos,36.0
2013.0,Alcobaça,Município,Cursos Tecnológicos e Profissionais,Total,% dos alunos,11.4
2013.0,Alcobaça,Município,Total,10º ano,% dos alunos,7.3
2013.0,Alcobaça,Município,Total,11º ano,% dos alunos,7.2
2013.0,Alcobaça,Município,Total,12º ano,% dos alunos,36.2
2013.0,Alcobaça,Município,Total,Total,% dos alunos,16.5
2013.0,Alcochete,Município,Cursos gerais,10º ano,% dos alunos,18.4
2013.0,Alcochete,Município,Cursos gerais,11º ano,% dos alunos,27.6
2013.0,Alcochete,Município,Cursos gerais,12º ano,% dos alunos,45.8
2013.0,Alcochete,Município,Cursos gerais,Total,% dos alunos,29.1
2013.0,Alcochete,Município,Cursos Tecnológicos e Profissionais,10º ano,% dos alunos,11.3
2013.0,Alcochete,Município,Cursos Tecnológicos e Profissionais,11º ano,% dos alunos,3.2
2013.0,Alcochete,Município,Cursos Tecnológicos e Profissionais,12º ano,% dos alunos,46.8
2013.0,Alcochete,Município,Cursos Tecnológicos e Profissionais,Total,% dos alunos,25.4
2013.0,Alcochete,Município,Total,10º ano,% dos alunos,16.2
2013.0,Alcochete,Município,Total,11º ano,% dos alunos,24.1
2013.0,Alcochete,Município,Total,12º ano,% dos alunos,46.2
2013.0,Alcochete,Município,Total,Total,% dos alunos,28.1
2013.0,Alcoutim,Município,Cursos gerais,10º ano,% dos alunos,
2013.0,Alcoutim,Município,Cursos gerais,11º ano,% dos alunos,
2013.0,Alcoutim,Município,Cursos gerais,12º ano,% dos alunos,
2013.0,Alcoutim,Município,Cursos gerais,Total,% dos alunos,
2013.0,Alcoutim,Município,Cursos Tecnológicos e Profissionais,10º ano,% dos alunos,
2013.0,Alcoutim,Município,Cursos Tecnológicos e Profissionais,11º ano,% dos alunos,
2013.0,Alcoutim,Município,Cursos Tecnológicos e Profissionais,12º ano,% dos alunos,
2013.0,Alcoutim,Município,Cursos Tecnológicos e Profissionais,Total,% dos alunos,
2013.0,Alcoutim,Município,Total,10º ano,% dos alunos,
2013.0,Alcoutim,Município,Total,11º ano,% dos alunos,
2013.0,Alcoutim,Município,Total,12º ano,% dos alunos,
2013.0,Alcoutim,Município,Total,Total,% dos alunos,
2013.0,Alenquer,Município,Cursos gerais,10º ano,% dos alunos,20.4
2013.0,Alenquer,Município,Cursos gerais,11º ano,% dos alunos,20.0
2013.0,Alenquer,Município,Cursos gerais,12º ano,% dos alunos,48.2
2013.0,Alenquer,Município,Cursos gerais,Total,% dos alunos,27.4
2013.0,Alenquer,Município,Cursos Tecnológicos e Profissionais,10º ano,% dos alunos,7.2
2013.0,Alenquer,Município,Cursos Tecnológicos e Profissionais,11º ano,% dos alunos,4.2
2013.0,Alenquer,Município,Cursos Tecnológicos e Profissionais,12º ano,% dos alunos,68.6
2013.0,Alenquer,Município,Cursos Tecnológicos e Profissionais,Total,% dos alunos,28.7
2013.0,Alenquer,Município,Total,10º ano,% dos alunos,16.5
2013.0,Alenquer,Município,Total,11º ano,% dos alunos,15.2
2013.0,Alenquer,Município,Total,12º ano,% dos alunos,56.6
2013.0,Alenquer,Município,Total,Total,% dos alunos,27.8
2013.0,Alfândega da Fé,Município,Cursos gerais,10º ano,% dos alunos,25.0
2013.0,Alfândega da Fé,Município,Cursos gerais,11º ano,% dos alunos,18.7
2013.0,Alfândega da Fé,Município,Cursos gerais,12º ano,% dos alunos,53.6
2013.0,Alfândega da Fé,Município,Cursos gerais,Total,% dos alunos,31.0
2013.0,Alfândega da Fé,Município,Cursos Tecnológicos e Profissionais,10º ano,% dos alunos,
2013.0,Alfândega da Fé,Município,Cursos Tecnológicos e Profissionais,11º ano,% dos alunos,
2013.0,Alfândega da Fé,Município,Cursos Tecnológicos e Profissionais,12º ano,% dos alunos,5.6
2013.0,Alfândega da Fé,Município,Cursos Tecnológicos e Profissionais,Total,% dos alunos,5.6
2013.0,Alfândega da Fé,Município,Total,10º ano,% dos alunos,25.0
2013.0,Alfândega da Fé,Município,Total,11º ano,% dos alunos,18.7
2013.0,Alfândega da Fé,Município,Total,12º ano,% dos alunos,34.8
2013.0,Alfândega da Fé,Município,Total,Total,% dos alunos,27.1
2013.0,Alijó,Município,Cursos gerais,10º ano,% dos alunos,14.0
2013.0,Alijó,Município,Cursos gerais,11º ano,% dos alunos,11.5
2013.0,Alijó,Município,Cursos gerais,12º ano,% dos alunos,38.5
2013.0,Alijó,Município,Cursos gerais,Total,% dos alunos,20.1
2013.0,Alijó,Município,Cursos Tecnológicos e Profissionais,10º ano,% dos alunos,15.6
2013.0,Alijó,Município,Cursos Tecnológicos e Profissionais,11º ano,% dos alunos,6.7
2013.0,Alijó,Município,Cursos Tecnológicos e Profissionais,12º ano,% dos alunos,0.0
2013.0,Alijó,Município,Cursos Tecnológicos e Profissionais,Total,% dos alunos,9.1
2013.0,Alijó,Município,Total,10º ano,% dos alunos,14.8
2013.0,Alijó,Município,Total,11º ano,% dos alunos,9.8
2013.0,Alijó,Município,Total,12º ano,% dos alunos,23.8
2013.0,Alijó,Município,Total,Total,% dos alunos,15.5
2013.0,Aljezur,Município,Cursos gerais,10º ano,% dos alunos,
2013.0,Aljezur,Município,Cursos gerais,11º ano,% dos alunos,
2013.0,Aljezur,Município,Cursos gerais,12º ano,% dos alunos,
2013.0,Aljezur,Município,Cursos gerais,Total,% dos alunos,
2013.0,Aljezur,Município,Cursos Tecnológicos e Profissionais,10º ano,% dos alunos,
2013.0,Aljezur,Município,Cursos Tecnológicos e Profissionais,11º ano,% dos alunos,
2013.0,Aljezur,Município,Cursos Tecnológicos e Profissionais,12º ano,% dos alunos,
2013.0,Aljezur,Município,Cursos Tecnológicos e Profissionais,Total,% dos alunos,
2013.0,Aljezur,Município,Total,10º ano,% dos alunos,
2013.0,Aljezur,Município,Total,11º ano,% dos alunos,
2013.0,Aljezur,Município,Total,12º ano,% dos alunos,
2013.0,Aljezur,Município,Total,Total,% dos alunos,
2013.0,Aljustrel,Município,Cursos gerais,10º ano,% dos alunos,5.0
2013.0,Aljustrel,Município,Cursos gerais,11º ano,% dos alunos,6.5
2013.0,Aljustrel,Município,Cursos gerais,12º ano,% dos alunos,38.2
2013.0,Aljustrel,Município,Cursos gerais,Total,% dos alunos,16.2
2013.0,Aljustrel,Município,Cursos Tecnológicos e Profissionais,10º ano,% dos alunos,7.7
2013.0,Aljustrel,Município,Cursos Tecnológicos e Profissionais,11º ano,% dos alunos,0.0
2013.0,Aljustrel,Município,Cursos Tecnológicos e Profissionais,12º ano,% dos alunos,3.4
2013.0,Aljustrel,Município,Cursos Tecnológicos e Profissionais,Total,% dos alunos,3.4
2013.0,Aljustrel,Município,Total,10º ano,% dos alunos,6.1
2013.0,Aljustrel,Município,Total,11º ano,% dos alunos,3.1
2013.0,Aljustrel,Município,Total,12º ano,% dos alunos,22.2
2013.0,Aljustrel,Município,Total,Total,% dos alunos,10.4
2013.0,Almada,Município,Cursos gerais,10º ano,% dos alunos,19.7
2013.0,Almada,Município,Cursos gerais,11º ano,% dos alunos,18.9
2013.0,Almada,Município,Cursos gerais,12º ano,% dos alunos,43.2
2013.0,Almada,Município,Cursos gerais,Total,% dos alunos,26.8
2013.0,Almada,Município,Cursos Tecnológicos e Profissionais,10º ano,% dos alunos,9.9
2013.0,Almada,Município,Cursos Tecnológicos e Profissionais,11º ano,% dos alunos,6.7
2013.0,Almada,Município,Cursos Tecnológicos e Profissionais,12º ano,% dos alunos,45.2
2013.0,Almada,Município,Cursos Tecnológicos e Profissionais,Total,% dos alunos,19.3
2013.0,Almada,Município,Total,10º ano,% dos alunos,16.0
2013.0,Almada,Município,Total,11º ano,% dos alunos,14.7
2013.0,Almada,Município,Total,12º ano,% dos alunos,43.9
2013.0,Almada,Município,Total,Total,% dos alunos,24.2
2013.0,Almeida,Município,Cursos gerais,10º ano,% dos alunos,16.2
2013.0,Almeida,Município,Cursos gerais,11º ano,% dos alunos,15.2
2013.0,Almeida,Município,Cursos gerais,12º ano,% dos alunos,55.0
2013.0,Almeida,Município,Cursos gerais,Total,% dos alunos,30.0
2013.0,Almeida,Município,Cursos Tecnológicos e Profissionais,10º ano,% dos alunos,
2013.0,Almeida,Município,Cursos Tecnológicos e Profissionais,11º ano,% dos alunos,0.0
2013.0,Almeida,Município,Cursos Tecnológicos e Profissionais,12º ano,% dos alunos,
2013.0,Almeida,Município,Cursos Tecnológicos e Profissionais,Total,% dos alunos,0.0
2013.0,Almeida,Município,Total,10º ano,% dos alunos,16.2
2013.0,Almeida,Município,Total,11º ano,% dos alunos,10.2
2013.0,Almeida,Município,Total,12º ano,% dos alunos,55.0
2013.0,Almeida,Município,Total,Total,% dos alunos,26.2
2013.0,Almeirim,Município,Cursos gerais,10º ano,% dos alunos,10.5
2013.0,Almeirim,Município,Cursos gerais,11º ano,% dos alunos,25.0
2013.0,Almeirim,Município,Cursos gerais,12º ano,% dos alunos,45.5
2013.0,Almeirim,Município,Cursos gerais,Total,% dos alunos,28.3
2013.0,Almeirim,Município,Cursos Tecnológicos e Profissionais,10º ano,% dos alunos,1.9
2013.0,Almeirim,Município,Cursos Tecnológicos e Profissionais,11º ano,% dos alunos,0.0
2013.0,Almeirim,Município,Cursos Tecnológicos e Profissionais,12º ano,% dos alunos,36.5
2013.0,Almeirim,Município,Cursos Tecnológicos e Profissionais,Total,% dos alunos,13.4
2013.0,Almeirim,Município,Total,10º ano,% dos alunos,7.1
2013.0,Almeirim,Município,Total,11º ano,% dos alunos,13.7
2013.0,Almeirim,Município,Total,12º ano,% dos alunos,42.4
2013.0,Almeirim,Município,Total,Total,% dos alunos,22.5
2013.0,Almodôvar,Município,Cursos gerais,10º ano,% dos alunos,22.5
2013.0,Almodôvar,Município,Cursos gerais,11º ano,% dos alunos,17.6
